,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
15,gradient,1.1289145783508785,1.0713655767767838,1.0,1000.0,0.1576249599456787,Momentum,0.001,0.7,default_notext
16,gradient,1.1289144955274437,1.0713656730928542,1.0,1000.0,0.14174509048461914,Momentum,0.001,0.8,default_notext
17,gradient,1.1289144133761093,1.0713657698587777,1.0,1000.0,0.12931108474731445,Momentum,0.001,0.9,default_notext
18,gradient,1.1289143327081463,1.0713658660996714,1.0,1000.0,0.16448688507080078,Momentum,0.001,0.999,default_notext
13,gradient,1.1306070912536743,1.0732610083995122,1.0,1000.0,0.16251206398010254,Decay,0.001,0.0001,default_notext
76,gradient,1.1398998232041133,1.0735265733276143,0.0,1000.0,0.1532742977142334,Decay,0.0005,0.0001,default_notext
14,gradient,1.1342930825278643,1.0783387017415487,1.0,1000.0,3.7066619396209717,Decay,0.001,0.0005,default_top160
14,gradient,1.1370861804636843,1.0804022822626695,1.0,1000.0,0.15495514869689941,Decay,0.001,0.0005,default_notext
14,gradient,1.136684590408772,1.081170846371832,1.0,1000.0,0.9600481986999512,Decay,0.001,0.0005,default_top60
64,gradient,1.1510363178646696,1.0888029017630028,0.0,1000.0,0.12133121490478516,LearningRate,0.001,,default_notext
81,gradient,1.1488074127951804,1.0916038011453597,0.0,1000.0,0.14875388145446777,Momentum,0.0005,0.999,default_notext
69,gradient,1.1615717895550968,1.096056261460613,0.0,1000.0,0.13630986213684082,Momentum,0.001,0.7,default_notext
59,gradient,1.2015623751770939,1.1019651158326293,0.0,1000.0,0.7660138607025146,Decay,0.01,0.0005,default_top60
27,gradient,1.1704408337650185,1.1152607466456306,1.0,1000.0,0.14954900741577148,Momentum,0.0005,0.999,default_notext
26,gradient,1.1704449279770972,1.11526436177443,1.0,1000.0,0.1507868766784668,Momentum,0.0005,0.9,default_notext
25,gradient,1.170449062517135,1.1152680125441197,1.0,1000.0,0.12806320190429688,Momentum,0.0005,0.8,default_notext
24,gradient,1.1704531960232059,1.1152716624327026,1.0,1000.0,0.1392970085144043,Momentum,0.0005,0.7,default_notext
19,gradient,1.1704821015234568,1.1152971868855297,1.0,1000.0,0.13890719413757324,LearningRate,0.0005,,default_notext
70,gradient,1.17563348813866,1.1181021838381013,0.0,1000.0,0.14202308654785156,Momentum,0.001,0.8,default_notext
22,gradient,1.175676937129757,1.1205970376569998,1.0,1000.0,0.13119888305664062,Decay,0.0005,0.0001,default_notext
19,gradient,1.1743607523705517,1.1212074091434698,1.0,1000.0,3.680586099624634,LearningRate,0.0005,,default_top160
24,gradient,1.1743521699599162,1.1212092113165022,1.0,1000.0,3.771937608718872,Momentum,0.0005,0.7,default_top160
25,gradient,1.1743509404216708,1.1212094665311658,1.0,1000.0,3.738055944442749,Momentum,0.0005,0.8,default_top160
26,gradient,1.1743497100153033,1.121209721188103,1.0,1000.0,3.8925302028656006,Momentum,0.0005,0.9,default_top160
27,gradient,1.1743484910584385,1.1212099727497145,1.0,1000.0,3.720798969268799,Momentum,0.0005,0.999,default_top160
19,gradient,1.1762516112936863,1.1234646212686672,1.0,1000.0,0.7529940605163574,LearningRate,0.0005,,default_top60
