,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
8,gradient,1.0909410966884177,1.0296535679410677,True,1000,0.9389188289642334,Momentum,0.01,0.999,default_feeling
7,gradient,1.090940795502649,1.029653569470288,True,1000,0.8875761032104492,Momentum,0.01,0.9,default_feeling
6,gradient,1.0909404913641942,1.0296535711039636,True,1000,0.9007289409637451,Momentum,0.01,0.8,default_feeling
5,gradient,1.0909401873157865,1.0296535728269913,True,1000,0.8673210144042969,Momentum,0.01,0.7,default_feeling
0,gradient,1.0909380614984907,1.0296535873813164,True,1000,0.9223220348358154,LearningRate,0.01,,default_feeling
3,gradient,1.091175205594877,1.0298925748666443,True,1000,0.8582842350006104,Decay,0.01,0.0001,default_feeling
61,gradient,1.1133000658824739,1.0299122437838955,False,1000,1.264314889907837,Momentum,0.01,0.9,default_feeling
1,gradient,1.0934975423356417,1.0301696191446195,1.0,1000.0,0.15385198593139648,LearningRate,0.01,,default_notext
6,gradient,1.0934993460727669,1.0301700472597155,1.0,1000.0,0.15718913078308105,Momentum,0.01,0.7,default_notext
7,gradient,1.0934996041206764,1.0301701089340154,1.0,1000.0,0.14629602432250977,Momentum,0.01,0.8,default_notext
8,gradient,1.093499862261368,1.0301701707374087,1.0,1000.0,0.15707802772521973,Momentum,0.01,0.9,default_notext
9,gradient,1.0935001179120434,1.0301702320500423,1.0,1000.0,0.1421351432800293,Momentum,0.01,0.999,default_notext
0,closed-form,1.0607855201870686,1.0302247097972375,,,0.0008990764617919922,,,,only_children_square
0,closed-form,1.0607855201870686,1.0302247097972375,,,0.0008990764617919922,,,,only_children_square
18,gradient,1.0695230108518647,1.0303385388699404,1.0,1000.0,0.2063610553741455,Momentum,0.001,0.999,only_children_square
18,gradient,1.0695230108518647,1.0303385388699404,1.0,1000.0,0.2063610553741455,Momentum,0.001,0.999,only_children_square
17,gradient,1.0695278962780126,1.030342347027057,1.0,1000.0,0.20664405822753906,Momentum,0.001,0.9,only_children_square
17,gradient,1.0695278962780126,1.030342347027057,1.0,1000.0,0.20664405822753906,Momentum,0.001,0.9,only_children_square
16,gradient,1.0695328312519174,1.0303461942466758,1.0,1000.0,0.20578289031982422,Momentum,0.001,0.8,only_children_square
16,gradient,1.0695328312519174,1.0303461942466758,1.0,1000.0,0.20578289031982422,Momentum,0.001,0.8,only_children_square
15,gradient,1.0695377664250196,1.030350042063752,1.0,1000.0,0.20351791381835938,Momentum,0.001,0.7,only_children_square
15,gradient,1.0695377664250196,1.030350042063752,1.0,1000.0,0.20351791381835938,Momentum,0.001,0.7,only_children_square
4,gradient,1.0937007100021383,1.0303812198150757,1.0,1000.0,0.1919102668762207,Decay,0.01,0.0001,default_notext
57,gradient,1.1063894535452836,1.0305732703020767,False,1000,0.9309930801391602,Decay,0.01,0.0001,default_feeling
